Яйце куряче С1 шт - 1,19 грн (Novus)
Яйця курячі Novus С0 6шт - 11,99 грн (Novus)
Яйця курячі Marka Promo С1 10шт - 16,39 грн (Novus)
Яйця курячі Квочка XL відбірні 10шт - 17,49 грн (Novus)
Яйце куряче Квочка С1 10шт - 17,49 грн (Novus)
Яйця курячі Novus С0 10шт - 17,49 грн (Novus)
Яйця курячі Квочка Premium С0 10шт - 17,99 грн (Novus)
Яйця курячі Квочка відбірні С0 10шт - 18,49 грн (Novus)
Яйця курячі Zlata kladka С0 10шт - 19,59 грн (Novus)
Яйця курячі Від доброї курки Свіжість С1 10шт - 19,99 грн (Novus)
Яйця курячі Це-яйце С0 10шт - 19,99 грн (Novus)
Яйця курячі Від доброї Курки Формула здоров'я С0 10шт - 20,49 грн (Novus)
Яйце куряче Ясенсвіт Домашній Смак С1 10шт - 20,49 грн (Novus)
Яйця курячі Ясенсвіт С1 10шт - 20,99 грн (Novus)
Яйця курячі ЕКО-КО С2 9шт - 21,49 грн (Novus)
Яйця курячі Ясенсвіт Справжні велетні С0 10шт - 21,99 грн (Novus)
Яйця курячі Це - яйце! столові С1 10шт - 21,99 грн (Novus)
Яйце куряче Ясенсвіт Оріджинал Егс С0 10шт (колір товару на фото може відрізнятися від кольору товару на полиці) - 22,99 грн (Novus)
Яйця курячі Ясенсвіт Молодильні С0 10шт - 23,99 грн (Novus)
Яйце куряче Ясенсвіт Супер С0 10шт (колір товару на фото може відрізнятися від кольору товару на полиці) - 24,99 грн (Novus)
Яйце куряче Квочкино С0 10шт - 26,99 грн (Novus)
Яйця курячі Смачна економія C0 10шт - 26,99 грн (Novus)
Яйця курячі Від доброї курки Кошик Життя С0 15шт - 27,49 грн (Novus)
Яйце куряче Дитячі С0 10шт - 29,90 грн (Novus)
Яйце куряче Ясенсвіт Для духмяних пирогів С1 15шт (колір товару на фото може відрізнятися від кольору товару на полиці) - 29,99 грн (Novus)
Яйця курячі Це - Яйце! С1 15шт - 29,99 грн (Novus)
Яйце перепелине Агрокомплекс Фенікс 20шт - 31,49 грн (Novus)
Яйця перепелині Novus 20шт - 31,50 грн (Novus)
Яйце куряче Світ Біо столове вищої категорії домашній спосіб утримання курей 6шт - 35,00 грн (Novus)
Яйця курячі Ясенсвіт С1 18шт - 35,99 грн (Novus)
Яйця Від доброї курки Омлет С1 20шт - 39,99 грн (Novus)
Яйця курячі Ясенсвіт Вільний вигул с1 10шт - 40,99 грн (Novus)
Яйце Органічне куряче 10шт - 45,99 грн (Novus)
Яйце куряче Світ Біо С1 10шт - 46,99 грн (Novus)
Яйця курячі Organic Chicken 10шт - 48,49 грн (Novus)
Яйця курячі Marka Promo C1 30шт - 49,99 грн (Novus)
Яйця курячі Luxo Vo С0 20шт - 54,99 грн (Novus)
Білок яєчний Овостар рідкий 1кг - 56,99 грн (Novus)
Яйца перепелині Чарівний Птах Елітні 30шт - 58,49 грн (Novus)
Яйце куряче рідке Овостар 1кг - 58,99 грн (Novus)
Яйця курячі Світ Біо органічні С1 10шт - 58,99 грн (Novus)
